ID,year,type,division,subdivision,major
1598,2013,Major,II,5,Anthropology
1607,2013,Major,II,7,History
1934,2013,Major,II,2,Psychology
1993,2013,Major,II,2,Economics
2124,2013,Major,II,2,Economics
2295,2013,Major,I,5,Biological Sciences
2437,2013,Major,I,4,Environmental Sciences
1368,2013,Major,II,5,Political Science
1523,2013,Major,I,5,Biological Sciences
1674,2013,Major,II,2,Economics
1821,2013,Major,II,7,History
1890,2013,Major,I,5,Biological Sciences
1910,2013,Major,I,5,Biological Sciences
2170,2013,Major,II,2,Psychology
2228,2013,Major,I,5,Biological Sciences
1741,2013,Major,I,5,Biological Sciences
31,2013,Major,II,2,Economics
35,2013,Major,II,2,Economics
38,2013,Major,II,2,Psychology
56,2013,Major,II,2,Economics
121,2013,Major,II,2,Economics
173,2013,Major,II,2,Economics
195,2013,Major,NA,NA,Communication Studies
426,2013,Major,II,2,Economics
999,2013,Major,II,2,Economics
1019,2013,Major,NA,NA,Radio/Television/Film
1181,2013,Major,NA,NA,Piano
1244,2013,Major,II,7,History
1370,2013,Major,II,7,History
1378,2013,Major,NA,NA,Learning & Organztnl Change
1412,2013,Major,II,2,Economics
1437,2013,Major,II,5,Political Science
1441,2013,Major,II,2,Economics
1465,2013,Major,II,2,Economics
1468,2013,Major,III,1,Spanish
1469,2013,Major,II,5,Political Science
1472,2013,Major,III,3,Philosophy
1504,2013,Major,II,2,Economics
1511,2013,Major,I,1,Statistics
1534,2013,Major,II,2,Economics
1539,2013,Major,II,2,Economics
1546,2013,Major,II,2,Economics
1548,2013,Major,II,5,Sociology
1585,2013,Major,II,5,Anthropology
1592,2013,Major,NA,NA,Radio/Television/Film
1599,2013,Major,II,2,Economics
1603,2013,Major,II,7,History
1606,2013,Major,II,2,Economics
1612,2013,Major,II,7,History
1613,2013,Major,II,2,Psychology
1620,2013,Major,II,2,Economics
1623,2013,Major,II,2,Economics
1626,2013,Major,II,2,Economics
1641,2013,Major,II,2,Economics
1671,2013,Major,III,3,Philosophy
1673,2013,Major,II,5,Anthropology
1678,2013,Major,II,7,History
1680,2013,Major,II,2,Psychology
1691,2013,Major,II,2,Economics
1694,2013,Major,NA,NA,Radio/Television/Film
1700,2013,Major,II,5,Sociology
1703,2013,Major,II,7,History
1713,2013,Major,II,2,Economics
1714,2013,Major,II,2,Economics
1722,2013,Major,II,2,Economics
1726,2013,Major,II,2,Economics
1737,2013,Major,II,7,History
1752,2013,Major,II,5,Political Science
1764,2013,Major,III,2,English
1774,2013,Major,II,2,Economics
1791,2013,Major,II,2,Economics
1795,2013,Major,II,5,Political Science
1798,2013,Major,II,2,Psychology
1823,2013,Major,II,2,Psychology
1833,2013,Major,III,1,French
1854,2013,Major,II,5,Political Science
1888,2013,Major,II,5,Political Science
1896,2013,Major,I,4,Environmental Sciences
1916,2013,Major,II,2,Economics
1970,2013,Major,II,2,Economics
1971,2013,Major,III,2,Comparative Literary Studies
1982,2013,Major,I,5,Biological Sciences
1984,2013,Major,II,2,Psychology
1998,2013,Major,II,2,Economics
2013,2013,Major,III,3,Philosophy
2043,2013,Major,II,2,Psychology
2045,2013,Major,II,2,Psychology
2074,2013,Major,II,2,Economics
2080,2013,Major,II,2,Economics
2113,2013,Major,II,7,History
2129,2013,Major,I,1,Statistics
2133,2013,Major,II,7,History
2134,2013,Major,II,7,History
2140,2013,Major,II,2,Economics
2155,2013,Major,II,5,Political Science
2162,2013,Major,II,5,Political Science
2171,2013,Major,II,2,Economics
2176,2013,Major,II,2,Economics
2181,2013,Major,II,2,Economics
2189,2013,Major,I,1,Statistics
2216,2013,Major,II,2,Economics
2233,2013,Major,II,2,Economics
2246,2013,Major,II,2,Economics
2251,2013,Major,II,2,Economics
2257,2013,Major,II,2,Psychology
2260,2013,Major,II,2,Economics
2262,2013,Major,II,5,Political Science
2268,2013,Major,II,7,History
2276,2013,Major,II,2,Economics
2285,2013,Major,II,2,Economics
2287,2013,Major,I,5,Biological Sciences
2301,2013,Major,II,5,Political Science
2342,2013,Major,II,7,History
2359,2013,Major,NA,NA,Radio/Television/Film
2366,2013,Major,II,2,Economics
2379,2013,Major,II,7,History
2395,2013,Major,II,2,Economics
2421,2013,Major,II,2,Psychology
2455,2013,Major,NA,NA,Communication Studies
2489,2013,Major,II,2,Economics
2497,2013,Major,II,2,Psychology
2500,2013,Major,II,2,Economics
2521,2013,Major,II,5,Political Science
2531,2013,Major,II,2,Economics
2556,2013,Major,II,2,Economics
2563,2013,Major,II,5,Political Science
2569,2013,Major,II,2,Economics
2570,2013,Major,II,2,Economics
2623,2013,Major,II,2,Economics
2651,2013,Major,II,5,Political Science
2847,2013,Major,II,2,Economics
3031,2013,Major,II,2,Economics
3829,2013,Major,II,5,Political Science
3869,2013,Major,II,2,Economics
5128,2013,Major,II,5,Political Science
1397,2013,Major,II,2,Economics
2200,2013,Major,II,2,Economics
2365,2013,Major,II,2,Economics
2271,2013,Major,II,5,Political Science
1277,2013,Major,II,5,Political Science
1918,2013,Major,II,2,Economics
2410,2013,Major,I,1,Statistics
2177,2013,Major,II,2,Economics
1417,2013,Major,II,2,Economics
1512,2013,Major,II,2,Economics
1690,2013,Major,II,7,History
1761,2013,Major,II,2,Economics
1767,2013,Major,II,2,Economics
2904,2013,Major,II,2,Economics
1768,2013,Major,II,2,Economics
2031,2013,Major,II,2,Economics
1416,2013,Major,II,2,Economics
1740,2013,Major,II,2,Economics
1793,2013,Major,I,1,Statistics
2158,2013,Major,NA,NA,Slavic Languages & Literature
2291,2013,Major,II,5,Political Science
2340,2013,Major,II,2,Economics
1783,2013,Major,III,2,English
2488,2013,Major,I,3,Physics and Astronomy
1733,2013,Major,I,1,Mathematics
1956,2013,Major,II,2,Psychology
2199,2013,Major,II,2,Psychology
2350,2013,Major,I,5,Biological Sciences
1958,2013,Major,II,2,Psychology
1444,2013,Major,II,2,Economics
1480,2013,Major,II,2,Economics
1861,2013,Major,II,7,History
2121,2013,Major,NA,NA,Journalism
2258,2013,Major,I,5,Biological Sciences
2552,2013,Major,II,5,Anthropology
1583,2013,Major,III,2,English
2000,2013,Major,II,7,History
1498,2013,Major,II,6,American Studies
1545,2013,Major,III,2,English
1893,2013,Major,II,5,Political Science
1941,2013,Major,III,4,Latina & Latino Studies
2,2014,Major,I,4,Environmental Sciences
3,2014,Major,III,3.5,Art Theory and Practice
5,2014,Major,II,7,History
8,2014,Major,II,2,Psychology
11,2014,Major,III,3,Philosophy
14,2014,Major,II,2,Psychology
24,2014,Major,II,2,Economics
41,2014,Major,II,2,Economics
51,2014,Major,NA,NA,Industrial Engineering
57,2014,Major,I,1,Mathematics
68,2014,Major,III,3,Philosophy
77,2014,Major,I,5,Biological Sciences
80,2014,Major,II,2,Economics
100,2014,Major,II,5,Political Science
103,2014,Major,II,2,Economics
116,2014,Major,II,2,Psychology
130,2014,Major,II,5,Political Science
140,2014,Major,II,2,Psychology
200,2014,Major,I,3,Physics and Astronomy
383,2014,Major,II,2,Psychology
462,2014,Major,I,5,Biological Sciences
470,2014,Major,II,5,Political Science
483,2014,Major,II,2,Economics
587,2014,Major,II,2,Economics
626,2014,Major,II,2,Economics
735,2014,Major,I,1,Mathematics
771,2014,Major,II,2,Economics
981,2014,Major,II,2,Economics
1165,2014,Major,I,4,Earth & Planetary Sciences
1289,2014,Major,II,7,History
1315,2014,Major,NA,NA,Jazz Studies
1316,2014,Major,II,2,Economics
1357,2014,Major,NA,NA,Materials Science and Eng
1359,2014,Major,NA,NA,Performance Studies
1360,2014,Major,II,5,Political Science
1361,2014,Major,NA,NA,Applied Mathematics
1367,2014,Major,II,2,Economics
1390,2014,Major,I,5,Biological Sciences
1445,2014,Major,NA,NA,Radio/Television/Film
1515,2014,Major,II,2,Linguistics
1522,2014,Major,II,2,Economics
1562,2014,Major,NA,NA,Materials Science and Eng
1567,2014,Major,NA,NA,Industrial Engineering
1593,2014,Major,I,1,Computer Science
1653,2014,Major,NA,NA,Industrial Engineering
1710,2014,Major,II,2,Economics
1718,2014,Major,I,5,Biological Sciences
1812,2014,Major,II,2,Psychology
1815,2014,Major,II,5,Political Science
1816,2014,Major,III,1,French
1820,2014,Major,I,1,Computer Science
1825,2014,Major,II,2,Psychology
1849,2014,Major,II,2,Psychology
1862,2014,Major,II,2,Cognitive Science
1917,2014,Major,II,6,American Studies
1922,2014,Major,II,2,Psychology
1946,2014,Major,II,2,Economics
1948,2014,Major,I,5,Biological Sciences
1972,2014,Major,NA,NA,Theatre
2002,2014,Major,NA,NA,Radio/Television/Film
2012,2014,Major,III,3,Philosophy
2035,2014,Major,II,2,Psychology
2040,2014,Major,NA,NA,Journalism
2049,2014,Major,II,2,Economics
2076,2014,Major,II,2,Psychology
2098,2014,Major,II,2,Economics
2163,2014,Major,II,5,Political Science
2184,2014,Major,I,3,Chemistry
2206,2014,Major,I,4,Environmental Sciences
2213,2014,Major,NA,NA,Chemical Engineering
2232,2014,Major,II,2,Economics
2238,2014,Major,NA,NA,Industrial Engineering
2252,2014,Major,II,2,Cognitive Science
2310,2014,Major,II,5,Political Science
2334,2014,Major,NA,NA,Industrial Engineering
2337,2014,Major,NA,NA,Industrial Engineering
2354,2014,Major,I,1,Mathematics
2372,2014,Major,II,2,Psychology
2393,2014,Major,I,1,Mathematics
2398,2014,Major,II,7,History
2422,2014,Major,II,5,Anthropology
2424,2014,Major,NA,NA,Industrial Engineering
2429,2014,Major,III,3.5,Art History
2462,2014,Major,I,1,Mathematics
2480,2014,Major,II,2,Psychology
2483,2014,Major,II,5,Sociology
2484,2014,Major,II,2,Economics
2495,2014,Major,II,2,Psychology
2530,2014,Major,NA,NA,Biomedical Engineering
2533,2014,Major,I,5,Biological Sciences
2534,2014,Major,II,5,Political Science
2540,2014,Major,I,1,Mathematics
2543,2014,Major,II,2,Economics
2550,2014,Major,II,2,Economics
2554,2014,Major,NA,NA,Biomedical Engineering
2568,2014,Major,II,2,Economics
2591,2014,Major,NA,NA,Theatre
2592,2014,Major,NA,NA,Theatre
2593,2014,Major,NA,NA,Social Policy
2594,2014,Major,NA,NA,Theatre
2595,2014,Major,II,2,Psychology
2596,2014,Major,II,2,Cognitive Science
2601,2014,Major,NA,NA,Secondary Teaching
2603,2014,Major,NA,NA,Theatre
2604,2014,Major,NA,NA,Theatre
2605,2014,Major,II,5,Anthropology
2606,2014,Major,NA,NA,Journalism
2607,2014,Major,NA,NA,Journalism
2608,2014,Major,NA,NA,Journalism
2609,2014,Major,NA,NA,Journalism
2611,2014,Major,NA,NA,Journalism
2612,2014,Major,NA,NA,Communication Studies
2613,2014,Major,NA,NA,Journalism
2617,2014,Major,II,2,Psychology
2618,2014,Major,NA,NA,Journalism
2619,2014,Major,NA,NA,Journalism
2629,2014,Major,I,5,Biological Sciences
2630,2014,Major,NA,NA,Industrial Engineering
2631,2014,Major,NA,NA,Music Cognition
2634,2014,Major,II,2,Psychology
2641,2014,Major,II,2,Economics
2643,2014,Major,I,1,Mathematics
2644,2014,Major,III,2,English
2648,2014,Major,II,2,Psychology
2650,2014,Major,III,2,Comparative Literary Studies
2653,2014,Major,II,5,Political Science
2654,2014,Major,III,2.5,Classics
2656,2014,Major,III,2.5,Classics
2659,2014,Major,NA,NA,Radio/Television/Film
2661,2014,Major,II,2,Economics
2664,2014,Major,NA,NA,Theatre
2667,2014,Major,III,2,English
2671,2014,Major,I,4,Environmental Sciences
2674,2014,Major,I,3,Chemistry
2675,2014,Major,II,2,Psychology
2676,2014,Major,II,5,Political Science
2677,2014,Major,III,2,English
2679,2014,Major,II,2,Psychology
2680,2014,Major,NA,NA,Journalism
2683,2014,Major,II,2,Economics
2684,2014,Major,II,2,Psychology
2685,2014,Major,I,5,Biological Sciences
2689,2014,Major,II,2,Psychology
2690,2014,Major,II,2,Economics
2691,2014,Major,NA,NA,Journalism
2692,2014,Major,I,1,Mathematics
2694,2014,Major,NA,NA,Theatre
2695,2014,Major,I,5,Biological Sciences
2696,2014,Major,I,5,Biological Sciences
2697,2014,Major,I,1,Mathematics
2699,2014,Major,I,5,Biological Sciences
2702,2014,Major,NA,NA,Journalism
2703,2014,Major,NA,NA,Civil Engineering
2705,2014,Major,III,1,French
2706,2014,Major,I,5,Biological Sciences
2709,2014,Major,II,2,Psychology
2711,2014,Major,II,7,History
2712,2014,Major,NA,NA,Journalism
2713,2014,Major,I,1,Mathematics
2714,2014,Major,III,2,Comparative Literary Studies
2715,2014,Major,II,2,Psychology
2719,2014,Major,III,3.5,Art History
2721,2014,Major,I,5,Biological Sciences
2723,2014,Major,II,2,Psychology
2724,2014,Major,II,2,Psychology
2727,2014,Major,NA,NA,Learning & Organztnl Change
2728,2014,Major,II,2,Economics
2731,2014,Major,NA,NA,Human Development & Psych Srvs
2732,2014,Major,II,2,Psychology
2735,2014,Major,III,2,English
2736,2014,Major,III,3.5,Art History
2737,2014,Major,I,5,Biological Sciences
2739,2014,Major,II,5,Anthropology
2740,2014,Major,NA,NA,Secondary Teaching
2742,2014,Major,NA,NA,Radio/Television/Film
2743,2014,Major,II,2,Economics
2744,2014,Major,III,2,English
2746,2014,Major,I,6,Integrated Science Program
2747,2014,Major,I,6,Integrated Science Program
2748,2014,Major,NA,NA,Radio/Television/Film
2750,2014,Major,NA,NA,Materials Science and Eng
2751,2014,Major,II,6,American Studies
2753,2014,Major,II,7,History
2754,2014,Major,I,1,Mathematics
2755,2014,Major,NA,NA,Journalism
2757,2014,Major,II,2,Economics
2761,2014,Major,II,2,Psychology
2762,2014,Major,I,1,Mathematics
2765,2014,Major,NA,NA,Theatre
2767,2014,Major,NA,NA,Social Policy
2768,2014,Major,NA,NA,Journalism
2770,2014,Major,II,2,Economics
2771,2014,Major,II,2,Economics
2772,2014,Major,II,5,Political Science
2775,2014,Major,II,7,History
2778,2014,Major,II,2,Economics
2780,2014,Major,III,2.5,Classics
2782,2014,Major,II,2,Psychology
2786,2014,Major,II,2,Economics
2787,2014,Major,II,2,Economics
2791,2014,Major,I,5,Biological Sciences
2798,2014,Major,NA,NA,Learning & Organztnl Change
2800,2014,Major,III,3,Religious Studies
2801,2014,Major,I,5,Biological Sciences
2802,2014,Major,NA,NA,Radio/Television/Film
2803,2014,Major,III,1,Italian
2804,2014,Major,NA,NA,Communication Studies
2805,2014,Major,I,5,Biological Sciences
2807,2014,Major,I,5,Biological Sciences
2808,2014,Major,I,5,Biological Sciences
2809,2014,Major,II,2,Psychology
2812,2014,Major,II,2,Psychology
2813,2014,Major,NA,NA,Human Communication Sciences
2814,2014,Major,II,2,Psychology
2815,2014,Major,I,5,Biological Sciences
2817,2014,Major,NA,NA,Industrial Engineering
2820,2014,Major,I,3,Chemistry
2821,2014,Major,NA,NA,Industrial Engineering
2822,2014,Major,I,1,Mathematics
2823,2014,Major,I,1,Mathematics
2824,2014,Major,II,7,History
2828,2014,Major,NA,NA,Human Development & Psych Srvs
2829,2014,Major,II,2,Psychology
2830,2014,Major,II,5,Political Science
2831,2014,Major,I,5,Biological Sciences
2834,2014,Major,II,5,Political Science
2835,2014,Major,II,2,Economics
2837,2014,Major,NA,NA,Journalism
2839,2014,Major,I,5,Biological Sciences
2841,2014,Major,II,2,Psychology
2842,2014,Major,II,2,Economics
2844,2014,Major,I,1,Mathematics
2845,2014,Major,I,5,Biological Sciences
2849,2014,Major,III,3,Philosophy
2850,2014,Major,III,1,Spanish
2853,2014,Major,NA,NA,Journalism
2854,2014,Major,I,4,Environmental Sciences
2855,2014,Major,I,4,Environmental Sciences
2856,2014,Major,NA,NA,Journalism
2857,2014,Major,NA,NA,Journalism
2858,2014,Major,II,2,Cognitive Science
2862,2014,Major,I,1,Mathematics
2864,2014,Major,NA,NA,Social Policy
2869,2014,Major,I,1,Mathematics
2870,2014,Major,II,2,Economics
2871,2014,Major,NA,NA,Industrial Engineering
2873,2014,Major,I,3,Physics and Astronomy
2874,2014,Major,I,5,Biological Sciences
2875,2014,Major,I,6,Integrated Science Program
2877,2014,Major,I,6,Integrated Science Program
2879,2014,Major,II,6,American Studies
2880,2014,Major,NA,NA,Journalism
2881,2014,Major,II,2,Psychology
2882,2014,Major,II,2,Psychology
2884,2014,Major,II,5,Political Science
2885,2014,Major,I,1,Mathematics
2886,2014,Major,I,1,Mathematics
2887,2014,Major,II,7,History
2888,2014,Major,NA,NA,Journalism
2889,2014,Major,II,7,History
2891,2014,Major,I,5,Biological Sciences
2893,2014,Major,NA,NA,Journalism
2894,2014,Major,NA,NA,Journalism
2896,2014,Major,II,5,Political Science
2897,2014,Major,II,2,Economics
2898,2014,Major,II,2,Economics
2900,2014,Major,NA,NA,Social Policy
2901,2014,Major,I,1,Mathematics
2905,2014,Major,II,2,Economics
2906,2014,Major,I,1,Mathematics
2908,2014,Major,II,5,Anthropology
2909,2014,Major,II,2,Psychology
2913,2014,Major,NA,NA,Industrial Engineering
2916,2014,Major,I,5,Biological Sciences
2917,2014,Major,II,2,Psychology
2918,2014,Major,II,2,Economics
2919,2014,Major,I,1,Statistics
2922,2014,Major,III,1.25,German
2927,2014,Major,I,5,Biological Sciences
2928,2014,Major,II,2,Psychology
2929,2014,Major,II,2,Psychology
2930,2014,Major,I,5,Biological Sciences
2933,2014,Major,I,4,Environmental Sciences
2934,2014,Major,II,2,Cognitive Science
2935,2014,Major,II,7,History
2936,2014,Major,III,1,Spanish
2937,2014,Major,I,5,Biological Sciences
2938,2014,Major,II,2,Economics
2939,2014,Major,II,2,Psychology
2943,2014,Major,II,2,Economics
2947,2014,Major,III,3,Religious Studies
2949,2014,Major,NA,NA,Journalism
2952,2014,Major,NA,NA,Industrial Engineering
2953,2014,Major,III,2,English
2956,2014,Major,II,5,Anthropology
2957,2014,Major,NA,NA,Communication Studies
2960,2014,Major,II,5,Political Science
2961,2014,Major,NA,NA,Industrial Engineering
2962,2014,Major,NA,NA,Journalism
2965,2014,Major,II,7,History
2966,2014,Major,II,5,Sociology
2969,2014,Major,II,2,Economics
2972,2014,Major,II,2,Psychology
2975,2014,Major,I,1,Mathematics
2976,2014,Major,II,2,Economics
2977,2014,Major,I,5,Biological Sciences
2978,2014,Major,NA,NA,Theatre
2981,2014,Major,NA,NA,Radio/Television/Film
2982,2014,Major,NA,NA,Social Policy
2985,2014,Major,I,4,Environmental Sciences
2987,2014,Major,II,2,Economics
2989,2014,Major,I,5,Biological Sciences
2992,2014,Major,I,5,Biological Sciences
2993,2014,Major,NA,NA,Journalism
2994,2014,Major,II,5,Anthropology
2996,2014,Major,I,1,Mathematics
2999,2014,Major,II,2,Psychology
3000,2014,Major,NA,NA,Journalism
3001,2014,Major,II,2,Economics
3005,2014,Major,I,5,Biological Sciences
3007,2014,Major,II,2,Cognitive Science
3008,2014,Major,I,5,Biological Sciences
3011,2014,Major,II,2,Psychology
3018,2014,Major,I,1,Computer Science
3020,2014,Major,II,7,History
3021,2014,Major,III,3.5,Art Theory and Practice
3026,2014,Major,II,5,Anthropology
3027,2014,Major,NA,NA,Communication Studies
3029,2014,Major,II,2,Economics
3032,2014,Major,II,2,Psychology
3033,2014,Major,NA,NA,Learning & Organztnl Change
3034,2014,Major,II,5,Sociology
3036,2014,Major,II,5,Political Science
3039,2014,Major,I,5,Biological Sciences
3040,2014,Major,II,5,Anthropology
3046,2014,Major,III,3,Philosophy
3048,2014,Major,NA,NA,Industrial Engineering
3049,2014,Major,II,7,History
3050,2014,Major,II,2,Psychology
3053,2014,Major,II,2,Economics
3055,2014,Major,I,5,Biological Sciences
3057,2014,Major,I,1,Mathematics
3058,2014,Major,NA,NA,Learning & Organztnl Change
3062,2014,Major,II,5,Sociology
3063,2014,Major,II,5,Political Science
3064,2014,Major,II,2,Economics
3065,2014,Major,III,1.25,German
3068,2014,Major,II,5,Political Science
3070,2014,Major,II,7,History
3072,2014,Major,III,1,French
3078,2014,Major,NA,NA,Journalism
3080,2014,Major,NA,NA,Industrial Engineering
3082,2014,Major,NA,NA,Learning & Organztnl Change
3088,2014,Major,NA,NA,Journalism
3090,2014,Major,I,1,Mathematics
3091,2014,Major,NA,NA,Civil Engineering
3092,2014,Major,II,2,Economics
3093,2014,Major,NA,NA,Journalism
3096,2014,Major,II,6,African American Studies
3098,2014,Major,NA,NA,Voice & Opera
3099,2014,Major,II,5,Political Science
3100,2014,Major,I,4,Environmental Sciences
3101,2014,Major,I,1,Computer Science
3102,2014,Major,II,2,Economics
3104,2014,Major,I,5,Biological Sciences
3105,2014,Major,NA,NA,Applied Mathematics
3106,2014,Major,NA,NA,Learning & Organztnl Change
3107,2014,Major,II,2,Economics
3108,2014,Major,I,6,Integrated Science Program
3109,2014,Major,III,4,Jewish Studies
3110,2014,Major,I,3,Chemistry
3111,2014,Major,NA,NA,Journalism
3112,2014,Major,II,5,Political Science
3114,2014,Major,II,2,Economics
3115,2014,Major,NA,NA,Communication Studies
3116,2014,Major,NA,NA,Journalism
3120,2014,Major,I,1,Mathematics
3121,2014,Major,II,2,Economics
3123,2014,Major,III,3,Religious Studies
3126,2014,Major,II,7,History
3127,2014,Major,II,2,Psychology
3129,2014,Major,II,2,Economics
3133,2014,Major,II,2,Psychology
3134,2014,Major,NA,NA,Mechanical Engineering
3136,2014,Major,III,1.5,Middle East & North African Studies
3139,2014,Major,NA,NA,Radio/Television/Film
3140,2014,Major,II,2,Psychology
3143,2014,Major,NA,NA,Industrial Engineering
3144,2014,Major,NA,NA,Radio/Television/Film
3145,2014,Major,II,2,Economics
3147,2014,Major,NA,NA,Journalism
3149,2014,Major,II,2,Economics
3151,2014,Major,II,2,Psychology
3152,2014,Major,II,2,Economics
3154,2014,Major,II,2,Psychology
3156,2014,Major,NA,NA,Journalism
3158,2014,Major,II,2,Economics
3160,2014,Major,II,6,African American Studies
3161,2014,Major,II,2,Psychology
3165,2014,Major,II,2,Cognitive Science
3166,2014,Major,I,1,Statistics
3167,2014,Major,III,3.5,Art History
3169,2014,Major,I,5,Biological Sciences
3172,2014,Major,III,2,English
3175,2014,Major,II,2,Psychology
3178,2014,Major,II,2,Psychology
3180,2014,Major,II,5,Anthropology
3183,2014,Major,III,1.25,German
3184,2014,Major,I,1,Mathematics
3187,2014,Major,II,2,Psychology
3189,2014,Major,II,5,Political Science
3190,2014,Major,II,5,Political Science
3192,2014,Major,NA,NA,Radio/Television/Film
3197,2014,Major,I,5,Biological Sciences
3200,2014,Major,I,5,Biological Sciences
3202,2014,Major,I,3,Chemistry
3204,2014,Major,I,3,Physics and Astronomy
3207,2014,Major,NA,NA,Industrial Engineering
3208,2014,Major,I,6,Integrated Science Program
3212,2014,Major,NA,NA,Journalism
3213,2014,Major,II,2,Psychology
3215,2014,Major,I,5,Biological Sciences
3217,2014,Major,NA,NA,Journalism
3218,2014,Major,NA,NA,String Instruments
3219,2014,Major,II,5,Political Science
3221,2014,Major,I,1,Mathematics
3222,2014,Major,II,2,Economics
3223,2014,Major,NA,NA,Music Ad Hoc
3225,2014,Major,III,2,English
3226,2014,Major,NA,NA,Journalism
3228,2014,Major,I,5,Biological Sciences
3230,2014,Major,NA,NA,Journalism
3233,2014,Major,I,5,Biological Sciences
3234,2014,Major,III,3,Philosophy
3237,2014,Major,II,2,Psychology
3240,2014,Major,NA,NA,Industrial Engineering
3244,2014,Major,III,2,English
3245,2014,Major,NA,NA,Social Policy
3249,2014,Major,I,5,Biological Sciences
3250,2014,Major,NA,NA,Theatre
3252,2014,Major,I,6,Integrated Science Program
3255,2014,Major,NA,NA,Journalism
3256,2014,Major,II,5,Sociology
3257,2014,Major,II,2,Economics
3258,2014,Major,I,5,Biological Sciences
3259,2014,Major,II,2,Economics
3261,2014,Major,I,5,Biological Sciences
3264,2014,Major,I,3,Chemistry
3266,2014,Major,I,1,Mathematics
3268,2014,Major,III,2.5,Classics
3269,2014,Major,II,2,Economics
3270,2014,Major,II,7,History
3271,2014,Major,I,3,Chemistry
3272,2014,Major,III,2,English
3273,2014,Major,I,5,Biological Sciences
3276,2014,Major,I,1,Mathematics
3279,2014,Major,NA,NA,Learning & Organztnl Change
3281,2014,Major,NA,NA,Applied Mathematics
3283,2014,Major,II,2,Economics
3284,2014,Major,I,5,Biological Sciences
3287,2014,Major,II,2,Economics
3288,2014,Major,II,5,Political Science
3289,2014,Major,NA,NA,Radio/Television/Film
3290,2014,Major,II,6,American Studies
3291,2014,Major,II,2,Cognitive Science
3292,2014,Major,NA,NA,Journalism
3297,2014,Major,III,1.5,Middle East & North African Studies
3298,2014,Major,II,2,Economics
3300,2014,Major,NA,NA,Wind & Percussion Instruments
3302,2014,Major,II,5,Sociology
3303,2014,Major,NA,NA,Communication Studies
3306,2014,Major,I,5,Biological Sciences
3307,2014,Major,I,3,Chemistry
3310,2014,Major,II,2,Psychology
3316,2014,Major,II,5,Political Science
3322,2014,Major,II,7,History
3328,2014,Major,II,2,Economics
3332,2014,Major,III,2,English
3335,2014,Major,I,5,Biological Sciences
3336,2014,Major,NA,NA,Radio/Television/Film
3337,2014,Major,II,2,Economics
3338,2014,Major,II,2,Psychology
3340,2014,Major,NA,NA,Social Policy
3344,2014,Major,II,5,Political Science
3347,2014,Major,II,2,Economics
3348,2014,Major,II,2,Economics
3351,2014,Major,I,6,Integrated Science Program
3354,2014,Major,II,2,Psychology
3355,2014,Major,I,3,Physics and Astronomy
3356,2014,Major,II,5,Political Science
3361,2014,Major,NA,NA,Journalism
3362,2014,Major,II,2,Economics
3363,2014,Major,NA,NA,Radio/Television/Film
3364,2014,Major,II,2,Economics
3370,2014,Major,NA,NA,Learning & Organztnl Change
3375,2014,Major,NA,NA,Human Communication Sciences
3377,2014,Major,I,3,Physics and Astronomy
3378,2014,Major,I,3,Chemistry
3379,2014,Major,I,5,Biological Sciences
3382,2014,Major,III,2,English
3384,2014,Major,NA,NA,Radio/Television/Film
3387,2014,Major,NA,NA,Communication Studies
3388,2014,Major,II,2,Economics
3389,2014,Major,NA,NA,Human Development & Psych Srvs
3390,2014,Major,I,5,Biological Sciences
3392,2014,Major,NA,NA,Radio/Television/Film
3393,2014,Major,I,3,Chemistry
3394,2014,Major,I,4,Environmental Sciences
3395,2014,Major,II,5,Political Science
3396,2014,Major,II,2,Economics
3399,2014,Major,II,5,Political Science
3400,2014,Major,II,2,Psychology
3404,2014,Major,II,2,Cognitive Science
3407,2014,Major,I,5,Biological Sciences
3411,2014,Major,II,5,Political Science
3412,2014,Major,II,2,Cognitive Science
3413,2014,Major,NA,NA,Journalism
3414,2014,Major,I,5,Biological Sciences
3415,2014,Major,II,5,Political Science
3416,2014,Major,II,7,History
3417,2014,Major,NA,NA,Journalism
3420,2014,Major,I,5,Biological Sciences
3421,2014,Major,II,2,Psychology
3422,2014,Major,II,6,American Studies
3423,2014,Major,II,2,Economics
3424,2014,Major,I,5,Biological Sciences
3429,2014,Major,I,3,Chemistry
3432,2014,Major,II,2,Psychology
3433,2014,Major,I,5,Biological Sciences
3435,2014,Major,I,5,Biological Sciences
3437,2014,Major,NA,NA,Social Policy
3439,2014,Major,I,4,Environmental Sciences
3441,2014,Major,I,6,Integrated Science Program
3442,2014,Major,I,4,Earth & Planetary Sciences
3443,2014,Major,I,3,Chemistry
3445,2014,Major,NA,NA,Journalism
3446,2014,Major,NA,NA,Communication Studies
3448,2014,Major,NA,NA,Radio/Television/Film
3454,2014,Major,NA,NA,Theatre
3456,2014,Major,II,2,Psychology
3457,2014,Major,II,2,Psychology
3458,2014,Major,II,2,Economics
3460,2014,Major,NA,NA,Industrial Engineering
3461,2014,Major,II,2,Economics
3462,2014,Major,NA,NA,Journalism
3463,2014,Major,I,5,Biological Sciences
3464,2014,Major,I,5,Biological Sciences
3465,2014,Major,II,2,Economics
3467,2014,Major,NA,NA,Journalism
3471,2014,Major,III,3.5,Art History
3474,2014,Major,II,2,Psychology
3477,2014,Major,NA,NA,Industrial Engineering
3478,2014,Major,II,2,Economics
